2018-12-06 16:46:20,211 INFO Episode 33	Last reward: -9.584955776964565	Average reward -10.54
2018-12-06 16:46:25,201 INFO Episode 34	Last reward: -9.504244712375888	Average reward -9.84
2018-12-06 16:46:30,298 INFO Episode 35	Last reward: -9.041715059118562	Average reward -9.58
2018-12-06 16:46:36,161 INFO Episode 36	Last reward: -11.74436567406147	Average reward -9.14
2018-12-06 16:46:41,823 INFO Episode 37	Last reward: -7.858816801529243	Average reward -8.72
2018-12-06 16:46:47,769 INFO Episode 38	Last reward: -13.052440803232562	Average reward -8.26
2018-12-06 16:46:53,277 INFO Episode 39	Last reward: -4.910055122805667	Average reward -8.27
2018-12-06 16:46:58,854 INFO Episode 40	Last reward: -4.122512134788904	Average reward -8.14
2018-12-06 16:47:04,057 INFO Episode 41	Last reward: -7.886084179479629	Average reward -7.74
2018-12-06 16:47:09,844 INFO Episode 42	Last reward: -5.700761345702091	Average reward -7.85
2018-12-06 16:47:15,977 INFO Episode 43	Last reward: -3.655807446958851	Average reward -7.49
2018-12-06 16:47:22,574 INFO Episode 44	Last reward: -2.775419192764438	Average reward -7.48
2018-12-06 16:47:29,648 INFO Episode 45	Last reward: -6.308857475727893	Average reward -6.96
2018-12-06 16:47:36,125 INFO Episode 46	Last reward: -6.262777427368726	Average reward -6.94
2018-12-06 16:47:41,513 INFO Episode 47	Last reward: -4.547521863839984	Average reward -6.78
2018-12-06 16:47:46,845 INFO Episode 48	Last reward: -4.027575051838667	Average reward -6.51
2018-12-06 16:47:52,051 INFO Episode 49	Last reward: -6.545644318752202	Average reward -6.72
2018-12-06 16:47:57,813 INFO Episode 50	Last reward: -5.972620533656494	Average reward -6.31
2018-12-06 16:48:02,863 INFO Episode 51	Last reward: -4.653039994402846	Average reward -6.15
2018-12-06 16:48:07,870 INFO Episode 52	Last reward: -12.337423360689076	Average reward -6.34
2018-12-06 16:48:14,017 INFO Episode 53	Last reward: -13.670386239055563	Average reward -6.07
2018-12-06 16:48:19,609 INFO Episode 54	Last reward: -4.495904021709923	Average reward -5.93
2018-12-06 16:48:24,683 INFO Episode 55	Last reward: -7.162667170174195	Average reward -5.93
2018-12-06 16:48:29,806 INFO Episode 56	Last reward: -5.050598615205549	Average reward -5.66
