2018-12-06 11:13:54,935 INFO Episode 34	Last reward: 11.76570495711162	Average reward 12.86
2018-12-06 11:13:59,983 INFO Episode 35	Last reward: 27.056467429152335	Average reward 16.25
2018-12-06 11:14:05,494 INFO Episode 36	Last reward: 78.80152304384269	Average reward 26.36
2018-12-06 11:14:10,595 INFO Episode 37	Last reward: 26.254274560498036	Average reward 33.21
2018-12-06 11:14:16,367 INFO Episode 38	Last reward: 207.91238859919628	Average reward 88.68
2018-12-06 11:14:21,583 INFO Episode 39	Last reward: 114.63546098977667	Average reward 71.94
2018-12-06 11:14:26,594 INFO Episode 40	Last reward: 76.53855542668252	Average reward 71.86
2018-12-06 11:14:32,561 INFO Episode 41	Last reward: 88.06887756550285	Average reward 147.48
2018-12-06 11:14:39,405 INFO Episode 42	Last reward: 569.9946678860093	Average reward 299.68
2018-12-06 11:14:45,801 INFO Episode 43	Last reward: 729.9486756728039	Average reward 498.53
2018-12-06 11:14:52,458 INFO Episode 44	Last reward: 1186.9772505423625	Average reward 1296.39
2018-12-06 11:14:58,791 INFO Episode 45	Last reward: 204.1888201772878	Average reward 927.40
2018-12-06 11:15:05,805 INFO Episode 46	Last reward: 2089.599161433795	Average reward 1037.16
2018-12-06 11:15:11,543 INFO Episode 47	Last reward: 586.4467103073797	Average reward 940.07
2018-12-06 11:15:18,672 INFO Episode 48	Last reward: 920.301598055587	Average reward 745.57
2018-12-06 11:15:25,061 INFO Episode 49	Last reward: 1196.8575747959014	Average reward 1229.13
2018-12-06 11:15:33,589 INFO Episode 50	Last reward: 2617.7733682129515	Average reward 1763.88
2018-12-06 11:15:40,341 INFO Episode 51	Last reward: 1928.1446235831568	Average reward 1927.09
2018-12-06 11:15:45,939 INFO Episode 52	Last reward: 1809.3733341650845	Average reward 1915.05
2018-12-06 11:15:52,983 INFO Episode 53	Last reward: 1887.6603153400667	Average reward 2221.85
2018-12-06 11:16:00,362 INFO Episode 54	Last reward: 2352.910440314101	Average reward 1616.18
2018-12-06 11:16:07,874 INFO Episode 55	Last reward: 2071.0124445412744	Average reward 1609.56
2018-12-06 11:16:14,595 INFO Episode 56	Last reward: 2843.0837810516696	Average reward 1632.54
